-1755606807,-1958234585
-80803565,-80803565
-1755606807,1882998239
-1755606807,-1695873842
536520361,-863187796
-1755606807,254511310
942226202,991226359
-1755606807,1519640365
-1755606807,-80803565
-863187796,746420231
-1958234585,-80803565
-1755606807,603925072
-1958234585,-1958234585
-813969155,254511310
254511310,-1914768245
-1958234585,-1695873842
-1695873842,-1695873842
-1755606807,2001314441
603925072,603925072
-1755606807,-813969155
-1958234585,603925072
-1497153642,-1185934349
-1497153642,991009712
1882998239,942226202
1882998239,-1418144087
254511310,254511310
-1755606807,536520361
-1958234585,-1644404251
1882998239,254511310
746420231,254511310
-1958234585,2001314441
