-2059438716,509005194
-2059438716,-1250945951
-2059438716,505618836
-2059438716,1295864178
698118066,-1828300186
-741726620,-741726620
-2059438716,-1279474446
1295864178,-579344939
1940473691,1940473691
-2059438716,2028269153
740706322,740706322
698118066,698118066
-2059438716,1940473691
698118066,1445048691
1445048691,1445048691
-1279474446,-1279474446
-2059438716,-741726620
-2059438716,740706322
-2059438716,695527356
-1279474446,2048299169
-2059438716,-880353684
-1250945951,-1250945951
-2059438716,698118066
-2059438716,-1091002938
-2059438716,-1002380133
-1497153642,-1185934349
-2059438716,-1318505163
-2059438716,-1554780244
-1497153642,991009712
698118066,-1279474446
-2059438716,-227911502
-2059438716,-860745510
698118066,740706322
-2059438716,-352351973
-2059438716,626779893
-1002380133,-1002380133
2028269153,2028269153
-1554780244,-1554780244
698118066,-1091002938
698118066,1519640365
-2059438716,1445048691
