1471538917,-1359982218
-1359982218,-1359982218
13985131,13985131
321211447,13985131
1861252158,1861252158
1471538917,1861252158
321211447,1861252158
321211447,-982194364
70109747,70109747
1471538917,70109747
1861252158,-38353395
-982194364,-982194364
1471538917,1471538917
321211447,1256199323
321211447,1193146905
1256199323,1256199323
321211447,622433558
-982194364,2048299169
1471538917,-1644404251
321211447,777597520
321211447,-530328475
777597520,777597520
-1497153642,-1185934349
321211447,-1359982218
1471538917,777597520
-1497153642,991009712
321211447,70109747
1471538917,1193146905
1471538917,1256199323
1471538917,622433558
622433558,622433558
321211447,-1318505163
321211447,1715295817
13985131,391107231
321211447,1471538917
321211447,912953521
1471538917,-38353395
321211447,1657079957
321211447,-2065178836
321211447,603925072
321211447,1098513755
